gym_name,gym_chain,gym_postalcode
Jurong East ActiveSG Gym,ActiveSG,609517
Yishun ActiveSG Gym,ActiveSG,769130
Jalan Besar ActiveSG Gym,ActiveSG,207542
Jurong Lake Gardens ActiveSG Gym,ActiveSG,618664
Bishan ActiveSG Gym,ActiveSG,579783
Yio Chu Kang ActiveSG Gym,ActiveSG,569770
Clementi ActiveSG Gym,ActiveSG,129908
Hougang ActiveSG Gym,ActiveSG,538832
Pasir Ris ActiveSG Gym,ActiveSG,519640
Sengkang ActiveSG Gym,ActiveSG,544964
Tampines ActiveSG Gym,ActiveSG,528523
Woodlands ActiveSG Gym,ActiveSG,738600
Choa Chu Kang ActiveSG Gym,ActiveSG,689236
Bukit Canberra ActiveSG Gym,ActiveSG,756972
Enabling Village ActiveSG Gym,ActiveSG,159053
Toa Payoh West CC ActiveSG Gym,ActiveSG,310200
Boon Lay Hockey Village ActiveSG Gym,ActiveSG,649883
Ang Mo Kio CC ActiveSG Gym,ActiveSG,569976
Serangoon Central ActiveSG Gym,ActiveSG,550264
Anytime Fitness Pasir Panjang,Anytime Fitness,118504
Anytime Fitness Tampines East,Anytime Fitness,529286
Anytime Fitness Marsiling,Anytime Fitness,730303
Anytime Fitness NTU,Anytime Fitness,636956
Anytime Fitness Tengah,Anytime Fitness,690119
Anytime Fitness Sembawang,Anytime Fitness,758459
Anytime Fitness Parc Point,Anytime Fitness,690302
Anytime Fitness CSC Bukit Batok,Anytime Fitness,659003
Anytime Fitness Choa Chu Kang,Anytime Fitness,689466
Anytime Fitness Choa Chu Kang Centre,Anytime Fitness,680309
Anytime Fitness Hong Kah North CC,Anytime Fitness,659857
Anytime Fitness Lower Peirce,Anytime Fitness,577727
Anytime Fitness Sunshine Place,Anytime Fitness,680475
Anytime Fitness Teck Whye,Anytime Fitness,680026
Anytime Fitness Wisteria Mall,Anytime Fitness,768698
Anytime Fitness Woodgrove,Anytime Fitness,739065
Anytime Fitness Woods Square,Anytime Fitness,737713
Anytime Fitness Woodlands North,Anytime Fitness,730871
Anytime Fitness Yew Tee,Anytime Fitness,680624
Anytime Fitness Yew Tee 614,Anytime Fitness,680614
Anytime Fitness Serangoon Gardens,Anytime Fitness,555949
Anytime Fitness City Hall,Anytime Fitness,179100
Anytime Fitness Bugis,Anytime Fitness,189673
Anytime Fitness Nex,Anytime Fitness,556083
Anytime Fitness Clementi,Anytime Fitness,120450
Anytime Fitness AMK Hub,Anytime Fitness,569933
Anytime Fitness Jurong Point,Anytime Fitness,648886
SAFRA Toa Payoh EnergyOne,EnergyOne,319387
SAFRA Tampines EnergyOne,EnergyOne,528882
SAFRA Mount Faber EnergyOne,EnergyOne,098803
SAFRA Yishun EnergyOne,EnergyOne,769027
SAFRA Jurong EnergyOne,EnergyOne,649848
SAFRA Punggol EnergyOne,EnergyOne,828654
SAFRA Choa Chu Kang EnergyOne,EnergyOne,689964
24/7 Fitness Ci Yuan CC,24/7 Fitness,538776
24/7 Fitness Vista Point,24/7 Fitness,730548
24/7 Fitness The Seletar Mall,24/7 Fitness,797653
24/7 Fitness Whampoa CC,24/7 Fitness,329745
24/7 Fitness Tampines North CC,24/7 Fitness,529204
24/7 Fitness Tanjong Pagar,24/7 Fitness,088539
24/7 Fitness Tai Seng,24/7 Fitness,534013
24/7 Fitness Cross Street,24/7 Fitness,048422
24/7 Fitness Jalan Besar,24/7 Fitness,208790
